train_step,train/train_norm
256,0.037841796875
512,0.130859375
768,0.41796875
1024,0.53125
1280,0.796875
1536,0.44140625
1792,0.5625
2048,1.359375
2304,1.0703125
2560,1.1171875
2816,1.1328125
3072,1.4921875
3328,1.5078125
3584,1.6015625
3840,1.8203125
4096,2.171875
4352,2.046875
4608,4.25
4864,1.8671875
5120,1.5703125
5376,1.6328125
5632,1.328125
5888,2.015625
6144,2.375
6400,2.296875
6656,2
6912,3.125
7168,2.59375
7424,1.875
7680,1.2734375
7936,1.4140625
8192,1.90625
8448,1.734375
8704,2.5625
8960,1.6484375
9216,2.328125
9472,2.4375
9728,2.453125
9984,2.3125
10240,2.96875
10496,3.03125
10752,1.7890625
11008,1.953125
11264,3.1875
11520,2.484375
11776,2.390625
12032,4.5625
12288,1.40625
12544,2.765625
12800,2.78125
13056,3.546875
13312,3.734375
13568,5.5
13824,5.3125
14080,6.0625
14336,7
14592,9
14848,5.15625
15104,6.4375
15360,8.8125
15616,12
15872,6.8125
16128,9.875
16384,7.5
16640,5.03125
16896,13.6875
17152,23.5
17408,28.625
17664,9.875
17920,12.5
18176,18
18432,8.6875
18688,12.5625
18944,7.375
19200,14.9375
19456,17
19712,16
19968,18.875
20224,43
20480,17
20736,10.8125
20992,22.625
21248,11.8125
21504,15.9375
21760,21.75
22016,19.875
22272,22.625
22528,20.375
22784,34
23040,16.5
23296,28.25
23552,22.5
23808,32.75
24064,48.25
24320,41.25
24576,50.5
24832,36.75
25088,29.875
25344,38.5
25600,65.5
