train_step,train/train_norm
256,0.08984375
512,0.357421875
768,0.91796875
1024,0.9296875
1280,2.28125
1536,2.109375
1792,3.625
2048,3.796875
2304,4.125
2560,3.359375
2816,3.75
3072,3.21875
3328,3.359375
3584,3.609375
3840,3.921875
4096,3.984375
4352,3.671875
4608,4.21875
4864,3.84375
5120,4.4375
5376,4.21875
5632,4.5625
5888,3.640625
6144,2.640625
6400,5.5625
6656,4.21875
6912,4.15625
7168,4.625
7424,6.90625
7680,2.984375
7936,5.25
8192,5.375
8448,4.90625
8704,4.34375
8960,4.8125
9216,5.625
9472,5
9728,4.28125
9984,8
10240,5.4375
10496,5.34375
10752,4.5
11008,6.25
11264,4.625
11520,7.15625
11776,5.28125
12032,7.5625
12288,12
12544,9.4375
12800,4.71875
13056,10.25
13312,7.6875
13568,7.65625
13824,9.875
14080,6.875
14336,7.5625
14592,13.75
14848,8.75
15104,6.875
15360,15.3125
15616,11.375
15872,77.5
16128,21.375
16384,8.75
16640,22.25
16896,7.25
17152,4.09375
17408,4.03125
17664,4.78125
17920,4.0625
18176,3.59375
18432,4.46875
18688,3.125
18944,7.8125
19200,19.5
19456,29.75
19712,38.75
19968,14.875
20224,9.9375
20480,54.5
20736,47.75
20992,64
21248,16.875
21504,18.375
21760,17.125
22016,23.75
22272,12.3125
22528,25.125
22784,34
23040,35.25
23296,28.875
23552,69
23808,39.75
24064,36
24320,36.25
24576,17.875
24832,26.5
25088,38.75
25344,12.4375
25600,29.25
