train_step,train/train_norm
256,0.08984375
512,0.376953125
768,1.1171875
1024,1.875
1280,2.421875
1536,1.796875
1792,1.8828125
2048,2.5625
2304,2.921875
2560,3.046875
2816,1.6484375
3072,1.8125
3328,1.8984375
3584,2.3125
3840,2.625
4096,2.328125
4352,2.9375
4608,2.859375
4864,2.6875
5120,2.578125
5376,2.71875
5632,2.6875
5888,2.15625
6144,2.484375
6400,3.234375
6656,3.4375
6912,2.625
7168,2.34375
7424,4.25
7680,2.890625
7936,3.171875
8192,3.546875
8448,4.125
8704,2.46875
8960,3.6875
9216,4.78125
9472,3.84375
9728,3.171875
9984,3.9375
10240,3.328125
10496,4.5
10752,4.28125
11008,4.0625
11264,4.53125
11520,3.609375
11776,2.859375
12032,3.8125
12288,2.734375
12544,3.109375
12800,2.65625
13056,3.71875
13312,3.75
13568,3.703125
13824,5.53125
14080,3.703125
14336,5.59375
14592,3.53125
14848,3.65625
15104,2.96875
15360,4.0625
15616,3.484375
15872,3.609375
16128,4.6875
16384,3.0625
16640,3.53125
16896,4.3125
17152,4.625
17408,3.203125
17664,3.875
17920,3.734375
18176,5.15625
18432,3.28125
18688,3.25
18944,3.828125
19200,3.796875
19456,3.515625
19712,3.6875
19968,4.5625
20224,4.5
20480,4.9375
20736,4.28125
20992,3.90625
21248,3.703125
21504,5
21760,5.375
22016,3.859375
22272,4.75
22528,4.625
22784,5.03125
23040,5.09375
23296,5.78125
23552,4.5625
23808,3.734375
24064,4.09375
24320,3.125
24576,5.03125
24832,3.9375
25088,7.65625
25344,5.25
25600,6.5
